friends_count,repostNum,followers_count,weiboID
620,71,88404,4010114450834772
2000,0,4024,4004763517719645
1054,0,2033504,4009811358183370
1956,0,47862621,3475454436511704
1663,184,20091625,4010306349408670
468,0,67133,4009414056218399
5000,962,2426678,3951141555174639
224,0,38302,4009750071137565
228,0,10033,3612777836868803
500,407,2194594,3989621593012773
1224,135,66043,3764504153872755
662,4,328939,3952893671784430
720,1,2004795,4009400421440680
1943,0,26295,3942811026562529
560,0,52869,3736229482492266
243,0,100409,3933318330127794
536,1,170617,4010126236500902
275,0,243,3802823361719373
3921,157,13389600,4010122659206579
286,0,3037,3723592271785692
350,0,79824,4001603306094036
844,1209,207025,3930370686995728
74,0,3077,3400763055299825
14,3,960,3355124412716956
515,0,205480,4009905284753161
1500,2,10404,3896358924823293
2030,57,5199415,4009832308478744
159,0,4565,4002608408580178
100,0,5565,3847785285994281
593,0,21458,4009859710336018
198,0,14665,3363699293191608
451,5,47160,3994172656427487
384,1,403641,4010180691374187
31,0,3113,3701039083704058
1922,1,221510,3972057773854053
580,0,405589,4010322232645202
108,0,423692,4010226321705525
114,8,993,3993469921737112
1640,0,132322,3994922388754154
408,0,87654,3989541763217208
406,0,15922,4003676446105559
272,0,21395,4008384589707125
468,0,10836,4010269711965711
895,1,72846,4010266708875447
1058,1,277201,4009774414554350
467,0,75930,3996350264083372
883,1,63488,3840374894056020
195,2,91264,4010124106286182
110,0,3127,4004736154221751
1833,2,331645,3862764542273674
59,2,2921,3641570240693051
350,1,79824,3991813293421768
207,0,1618,3374894256041472
34,4,222676,4010156029763460
535,0,63406,4009939510830937
74,543,65892,3611469247712711
2076,1,2796262,4010268864418909
207,0,106359,4007651178285778
173,1,7612,4010137062301491
119,0,4038,3705128136146929
201,2,2318,3691678285703188
1378,5,6515,3913831455144277
280,2,136789,4010194075970434
52,3,79170,3494439085690705
687,0,1648465,4010231686121475
369,6,238719,3997788708490646
713,0,195998,4010090451092328
1012,0,139976,4009792064063260
189,0,59653,3907221844399625
1273,237,232526,3979464868740817
289,0,16623,3981497390848702
118,3,100233,4009894967150030
855,0,24004,4010194067570314
58,3,1924,3359640327321681
180,0,1900,3842699843139364
2005,3,14810,3854827077569206
143,3,5313,3457298309652399
1409,69,8963229,4010139852026899
312,0,480770,3958656238004114
1632,1367,45027825,4010290905503737
353,2,17076,4009027929039597
558,5,355877,4010103340441547
70,1,1856,3486849055883976
776,0,181925,4010224283183353
746,0,28020,3923938310412501
848,0,13480,3722416863978811
60,0,19064,4009753073973784
186,1,116465,4010237604086473
1433,4,9868691,3877117563455563
1365,0,88876,3888472324355246
474,0,27886,3645217477735728
639,0,454308,4006200347137539
151,2,6234,3946671052084082
52,1925,132942,4006899055215570
242,0,8183,4010119639300081
110,0,3127,4007301574982265
951,33,198941,3694806658232995
214,0,35426,4009117355410073
856,2,63741,4009039090721351
1208,0,4710,3931181584369640
630,3,126926,3839445491120143
972,1,240959,4009156312326327
483,1,88460,4009775924140695
179,2,1934,3694224240992336
184,0,20918,3953779307061269
1016,19,4086984,4009857243946866
1429,7,1530772,4009574866266418
329,0,1430890,3929261993371566
1402,0,938101,4009763819774658
692,0,397736,4004479201889211
1737,4,1177427,4010127671022049
233,1,47890,3972629294182472
198,424,1193,4002213468804697
270,3,9728,3516542652327469
1956,1294,47850221,4009754215104353
